"city","pop","pu5","pu18","p65p","alf","hi","mhv","mgr","pov","att","ca"
"Del Perro","2,000,000.00","0.05","0.2","0.1","1,300,000","$75,000","$250,000","$1,300","0.2","26.9","0.42"
"Jannington","12,500,000","0.06","0.2","0.15","7,375,000","$40,000.00","$200,000.00","$850.00","0.2","30.4","0.34"
"Freedville","3,000,000.00","0.08","0.27","0.09","1,680,000","$46,000.00","$200,000.00","$850.00","0.25","46","0.4"
"Indianapolis, IN","863,002","0.075","0.248","0.111","488,459","$43,101","$120,400","$811","0.209","23","0.29"
"Riverside, CA","327,728","0.06","0.248","0.101","193,687","$58,979.00","$286,600.00","$1,194.00","0.178","29.9","0.226"
"Orlando, FL","280257","0.071","0.217","0.101","171,237","$44,007.00","$172,100.00","$1,040.00","0.199","25.1","0.35"
"Colorado Springs, CO","464,474","0.067","0.24","0.123","264,750","$56,227.00","$222,100.00","$958.00","0.128","21.4","0.378"
"Phoenix, AZ","1,626,078","0.076","0.268","0.098","907,352","$49,328.00","$178,200.00","$914.00","0.223","25.1","0.274"
"Memphis, TN","652236","0.077","0.253","0.113","363,295","$36,975.00","$93,700.00","$842.00","0.276","21.7","0.251"
"Cheasapeake, VA","240,397","0.063","0.245","0.119","137,747","$69,978.00","$256,500.00","$1,180.00","0.095","25.7","0.304"
"Lincoln, NE","284,736","0.068","0.226","0.121","166,571","$51,126.00","$150,200.00","$750.00","0.155","18","0.371"
"Omaha, NE","466893","0.073","0.25","0.121","259,593","$50,827.00","$139,800.00","$819.00","0.163","18.6","0.347"
"Boise, ID","226,570","0.06","0.226","0.127","132,997","$52,249.00","$191,000.00","$834.00","0.141","18.1","0.406"
"Jacksonville, FL","892,062","0.069","0.232","0.125","512,044","$48,256.00","$140,000.00","$955.00","0.17","24.2","0.27"
"North Hempstead, NY","232,920","0.056","0.229","0.193","121,584","$107,235.00","$642,300.00","$1,737.00","0.051","35.2","0.533"
"Chula Vista, CA","270,471","0.068","0.261","0.117","149,841","$66,956.00","$402,000.00","$1,351.00","0.122","28","0.279"
"El Paso, TX","683,577","0.077","0.275","0.121","360,245","$44,322.00","$119,300.00","$769.00","0.21","22.6","0.236"
"Atlanta, GA","486,290","0.059","0.187","0.108","314,143","$49,398.00","$222,300.00","$998.00","0.24","25.8","0.483"
"Bakersfield, CA","380,874","0.086","0.303","0.092","197,674","$58,669.00","$214,600.00","$1,005.00","0.197","22.6","0.213"
"St. Petersburg, FL","263,255","0.049","0.182","0.171","157,426","$48,183.00","$154,800.00","$959.00","0.164","23.3","0.322"
"Honolulu, HI","988,650","0.064","0.212","0.172","545,735","$77,161.00","$602,700.00","$1,587.00","0.085","28.7","0.334"
"Cincinnati, OH","301,301","0.073","0.221","0.116","177,768","$34,629.00","$120,300.00","$662.00","0.299","22.6","0.338"
"Tulsa, OK","401,800.00","0.074","0.246","0.131","220,588","$43,045.00","$126,200.00","$757.00","0.203","18.3","0.307"
"Cleveland, OH","385,525","0.066","0.23","0.13","221,291","$26,583.00","$67,500.00","$660.00","0.36","24.3","0.161"
