"city","pop","pu5","pu18","p65p","alf","hi","mhv","mgr","pov","att","ca","ji1","ji2","ji3","ji4","col1","col2","col3","swb1","swb2","swb3"
"Del Perro","2,000,000.00","0.05","0.2","0.1","1,300,000","$75,000","$250,000","$1,300","0.2","26.9","0.42","0.02702703","0.14876033","0.09708738","0.16246356","0.600319893","0.31750174","0.594243268","0.482200647","0.317857143","0.696236559"
"Jannington","12,500,000","0.06","0.2","0.15","7,375,000","$40,000.00","$200,000.00","$850.00","0.2","30.4","0.34","0.2972973","0.14876033","0.58252427","1","0.166356693","0.230514962","0.17641597","0.482200647","0.442857143","0.481182796"
"Freedville","3,000,000.00","0.08","0.27","0.09","1,680,000","$46,000.00","$200,000.00","$850.00","0.25","46","0.4","0.83783784","0.72727273","0","0.21485267","0.240750384","0.230514962","0.17641597","0.644012945","1","0.642473118"
"Indianapolis, IN","863,002","0.075","0.248","0.111","488,459","$43,101","$120,400","$811","0.209","23","0.29","0.7027027","0.54545455","0.2038835","0.0505796","0.204805833","0.092032011","0.140204271","0.511326861","0.178571429","0.346774194"
"Riverside, CA","327,728","0.06","0.248","0.101","193,687","$58,979.00","$286,600.00","$1,194.00","0.178","29.9","0.226","0.2972973","0.54545455","0.10679612","0.00994056","0.401676338","0.381176061","0.495821727","0.411003236","0.425","0.174731183"
"Orlando, FL","280257","0.071","0.217","0.101","171,237","$44,007.00","$172,100.00","$1,040.00","0.199","25.1","0.35","0.59459459","0.2892562","0.10679612","0.00684544","0.21603928","0.18197634","0.352831941","0.478964401","0.253571429","0.508064516"
"Colorado Springs, CO","464,474","0.067","0.24","0.123","264,750","$56,227.00","$222,100.00","$958.00","0.128","21.4","0.378","0.48648649","0.47933884","0.32038835","0.01973773","0.367554431","0.268963118","0.276694522","0.249190939","0.121428571","0.583333333"
"Phoenix, AZ","1,626,078","0.076","0.268","0.098","907,352","$49,328.00","$178,200.00","$914.00","0.223","25.1","0.274","0.72972973","0.7107438","0.0776699","0.10833066","0.282014085","0.192588727","0.235840297","0.556634304","0.253571429","0.303763441"
"Memphis, TN","652236","0.077","0.253","0.113","363,295","$36,975.00","$93,700.00","$842.00","0.276","21.7","0.251","0.75675676","0.58677686","0.22330097","0.03332378","0.128849874","0.045581072","0.168987929","0.72815534","0.132142857","0.241935484"
"Cheasapeake, VA","240,397","0.063","0.245","0.119","137,747","$69,978.00","$256,500.00","$1,180.00","0.095","25.7","0.304","0.37837838","0.52066116","0.2815534","0.00222836","0.538052373","0.328810021","0.482822656","0.142394822","0.275","0.384408602"
